uf,numero_de_cadastros,area_cadastrada
RS,606453,23677571.5526
PA,279598,82139008.9253
ES,108849,3681843.3953
AM,73642,71356840.5590
MT,170205,84587089.2698
MG,989444,54337722.8785
CE,314866,11065764.4411
PR,496164,18899704.2359
BA,1012499,35761771.0259
SP,408528,23335330.6275
PI,255052,20116996.1459
AL,114610,2203627.5329
GO,199690,32905239.0645
MS,79914,36321882.6612
SE,94418,1825481.2499
AC,45141,13853016.1261
PE,339371,7334876.8801
RJ,58923,2904531.9919
DF,17339,821455.1262
RR,22687,8857267.9008
AP,10116,5178584.3774
SC,374918,8254598.6201
RO,147287,15945636.8345
PB,170851,4232141.8477
TO,85537,25115022.6830
RN,89357,4041342.9145
MA,273642,30812014.3446
